city,city_ascii,state_id,state_name,name combo,county_fips,county_name,lat,lng,timezone,zips,id
Neenah,Neenah,WI,Wisconsin,"Neenah, Wisconsin",55139,Winnebago,44.167,-88.4764,America/Chicago,54956 54957,1840002244
Snoqualmie,Snoqualmie,WA,Washington,"Snoqualmie, Washington",53033,King,47.5293,-121.8412,America/Los_Angeles,98065,1840021119
Troy,Troy,OH,Ohio,"Troy, Ohio",39109,Miami,40.0436,-84.2191,America/New_York,45373 45374,1840010508
Hercules,Hercules,CA,California,"Hercules, California",6013,Contra Costa,38.0064,-122.2564,America/Los_Angeles,94547 94553,1840020276
Lake City,Lake City,FL,Florida,"Lake City, Florida",12023,Columbia,30.1901,-82.647,America/New_York,32055 32025 32056,1840015029
Paramus,Paramus,NJ,New Jersey,"Paramus, New Jersey",34003,Bergen,40.9455,-74.0712,America/New_York,07652 07653,1840000916
Okeechobee,Okeechobee,FL,Florida,"Okeechobee, Florida",12093,Okeechobee,27.2414,-80.8298,America/New_York,34972 34974 34973,1840015118
Soledad,Soledad,CA,California,"Soledad, California",6053,Monterey,36.4432,-121.3426,America/Los_Angeles,93960,1840021635
Muscatine,Muscatine,IA,Iowa,"Muscatine, Iowa",19139,Muscatine,41.4196,-91.068,America/Chicago,52761,1840008202
Boone,Boone,NC,North Carolina,"Boone, North Carolina",37189,Watauga,36.2111,-81.6668,America/New_York,28607 28608,1840015310
Moscow,Moscow,ID,Idaho,"Moscow, Idaho",16057,Latah,46.7307,-116.9986,America/Los_Angeles,83843 83844,1840019868
Cliffside Park,Cliffside Park,NJ,New Jersey,"Cliffside Park, New Jersey",34003,Bergen,40.8221,-73.988,America/New_York,7010,1840003537
Sebastian,Sebastian,FL,Florida,"Sebastian, Florida",12061,Indian River,27.7882,-80.4813,America/New_York,32958 32978,1840015984
Northport,Northport,AL,Alabama,"Northport, Alabama",1125,Tuscaloosa,33.2589,-87.5984,America/Chicago,35473 35475 35476 35452,1840014819
Natchez,Natchez,MS,Mississippi,"Natchez, Mississippi",28001,Adams,31.5437,-91.3867,America/Chicago,39120 39122,1840014951
Winchester,Winchester,KY,Kentucky,"Winchester, Kentucky",21049,Clark,38.0017,-84.1907,America/New_York,40391 40392,1840015216
Twentynine Palms,Twentynine Palms,CA,California,"Twentynine Palms, California",6071,San Bernardino,34.1478,-116.0659,America/Los_Angeles,92277 92278,1840021729
Holt,Holt,MI,Michigan,"Holt, Michigan",26065,Ingham,42.6416,-84.5307,America/Detroit,48842 48911 48824,1840004501
East St. Louis,East St. Louis,IL,Illinois,"East St. Louis, Illinois",17163,St. Clair,38.6156,-90.1304,America/Chicago,62207 62205 62204 62203 62201 62202,1840008629
Sachse,Sachse,TX,Texas,"Sachse, Texas",48113,Dallas,32.9726,-96.5793,America/Chicago,75048,1840020712
Paris,Paris,TX,Texas,"Paris, Texas",48277,Lamar,33.6688,-95.546,America/Chicago,75462 75460 75461,1840020594
Haines City,Haines City,FL,Florida,"Haines City, Florida",12105,Polk,28.11,-81.6157,America/New_York,33844 33845,1840014136
Cave Spring,Cave Spring,VA,Virginia,"Cave Spring, Virginia",51161,Roanoke,37.2254,-80.0073,America/New_York,24018,1840006440
Superior,Superior,WI,Wisconsin,"Superior, Wisconsin",55031,Douglas,46.6941,-92.0823,America/Chicago,54880,1840038034
West Odessa,West Odessa,TX,Texas,"West Odessa, Texas",48135,Ector,31.8388,-102.4996,America/Chicago,79763 79764 79760,1840037100
Medina,Medina,OH,Ohio,"Medina, Ohio",39103,Medina,41.1358,-81.8694,America/New_York,44256,1840003486
Conway,Conway,SC,South Carolina,"Conway, South Carolina",45051,Horry,33.8399,-79.0424,America/New_York,29527 29526 29528,1840014716
Barberton,Barberton,OH,Ohio,"Barberton, Ohio",39153,Summit,41.0094,-81.6038,America/New_York,44203,1840000792
Española,Espanola,NM,New Mexico,"Espanola, New Mexico",35039,Rio Arriba,36.0041,-106.0669,America/Denver,87567 87532 87533,1840020348
Dix Hills,Dix Hills,NY,New York,"Dix Hills, New York",36103,Suffolk,40.8035,-73.337,America/New_York,11746,1840005035
Rock Springs,Rock Springs,WY,Wyoming,"Rock Springs, Wyoming",56037,Sweetwater,41.5951,-109.2238,America/Denver,82901 82902,1840020101
Mercer Island,Mercer Island,WA,Washington,"Mercer Island, Washington",53033,King,47.5661,-122.232,America/Los_Angeles,98040,1840019830
Heber,Heber,UT,Utah,"Heber, Utah",49051,Wasatch,40.5068,-111.3984,America/Denver,84032,1840074861
White Bear Lake,White Bear Lake,MN,Minnesota,"White Bear Lake, Minnesota",27123,Ramsey,45.0657,-93.015,America/Chicago,55110,1840010005
Laurel,Laurel,MS,Mississippi,"Laurel, Mississippi",28067,Jones,31.6956,-89.1448,America/Chicago,39440 39443 39441 39442,1840014945
Holbrook,Holbrook,NY,New York,"Holbrook, New York",36103,Suffolk,40.7944,-73.0707,America/New_York,11741,1840005078
Bay Point,Bay Point,CA,California,"Bay Point, California",6013,Contra Costa,38.0329,-121.9614,America/Los_Angeles,94565,1840028316
Woodstock,Woodstock,IL,Illinois,"Woodstock, Illinois",17111,McHenry,42.3096,-88.4352,America/Chicago,60098,1840010107
Lochearn,Lochearn,MD,Maryland,"Lochearn, Maryland",24005,Baltimore,39.346,-76.7307,America/New_York,21208 21207,1840005694
Green,Green,OH,Ohio,"Green, Ohio",39153,Summit,40.9483,-81.4757,America/New_York,44685 44312 44319 44216 44720 44232,1840008254
Cloverleaf,Cloverleaf,TX,Texas,"Cloverleaf, Texas",48201,Harris,29.7882,-95.1724,America/Chicago,77015,1840018248
Owatonna,Owatonna,MN,Minnesota,"Owatonna, Minnesota",27147,Steele,44.0914,-93.2304,America/Chicago,55060,1840008983
Decatur,Decatur,GA,Georgia,"Decatur, Georgia",13089,DeKalb,33.7711,-84.2968,America/New_York,30030 30031 30036,1840014777
Pooler,Pooler,GA,Georgia,"Pooler, Georgia",13051,Chatham,32.1043,-81.2568,America/New_York,31322,1840014914
Madison,Madison,MS,Mississippi,"Madison, Mississippi",28089,Madison,32.4738,-90.13,America/Chicago,39110 39130,1840015782
Lancaster,Lancaster,SC,South Carolina,"Lancaster, South Carolina",45057,Lancaster,34.7247,-80.7801,America/New_York,29720,1840014630
Ewa Gentry,Ewa Gentry,HI,Hawaii,"Ewa Gentry, Hawaii",15003,Honolulu,21.3344,-158.0262,Pacific/Honolulu,96706,1840029577
Laurel,Laurel,MD,Maryland,"Laurel, Maryland",24033,Prince George's,39.095,-76.8622,America/New_York,20707 20725 20797,1840005976
Austin,Austin,MN,Minnesota,"Austin, Minnesota",27099,Mower,43.6718,-92.9783,America/Chicago,55912,1840006830
Lockport,Lockport,IL,Illinois,"Lockport, Illinois",17197,Will,41.5904,-88.0292,America/Chicago,60441,1840009256
Franklin,Franklin,IN,Indiana,"Franklin, Indiana",18081,Johnson,39.4938,-86.0546,America/Indiana/Indianapolis,46131,1840008460
South Salt Lake,South Salt Lake,UT,Utah,"South Salt Lake, Utah",49035,Salt Lake,40.7056,-111.8986,America/Denver,84119 84115 84165 84190,1840021386
Tarpon Springs,Tarpon Springs,FL,Florida,"Tarpon Springs, Florida",12103,Pinellas,28.1493,-82.7623,America/New_York,34689,1840015980
Edgewood,Edgewood,MD,Maryland,"Edgewood, Maryland",24025,Harford,39.421,-76.2968,America/New_York,21009 21010 21040,1840005661
San Lorenzo,San Lorenzo,CA,California,"San Lorenzo, California",6001,Alameda,37.6737,-122.1349,America/Los_Angeles,94541 94580,1840018912
Bluffton,Bluffton,SC,South Carolina,"Bluffton, South Carolina",45013,Beaufort,32.2135,-80.9316,America/New_York,29910,1840015799
Sevierville,Sevierville,TN,Tennessee,"Sevierville, Tennessee",47155,Sevier,35.8873,-83.5677,America/New_York,37862 37764 37876,1840015359
Forest Grove,Forest Grove,OR,Oregon,"Forest Grove, Oregon",41067,Washington,45.5244,-123.1101,America/Los_Angeles,97116,1840019930
Sun City West,Sun City West,AZ,Arizona,"Sun City West, Arizona",4013,Maricopa,33.6693,-112.3575,America/Phoenix,85375 85376,1840019312
South Portland,South Portland,ME,Maine,"South Portland, Maine",23005,Cumberland,43.631,-70.2895,America/New_York,4106,1840000328
Ruskin,Ruskin,FL,Florida,"Ruskin, Florida",12057,Hillsborough,27.7065,-82.4209,America/New_York,33570 33571 33575,1840014159
Denison,Denison,TX,Texas,"Denison, Texas",48181,Grayson,33.7672,-96.5807,America/Chicago,75020,1840019317
El Cerrito,El Cerrito,CA,California,"El Cerrito, California",6013,Contra Costa,37.9197,-122.3025,America/Los_Angeles,94530,1840020275
Keystone,Keystone,FL,Florida,"Keystone, Florida",12057,Hillsborough,28.1312,-82.5999,America/New_York,33626 33556 33558,1840028914
